country,country_name,oecd_name,local_year_r1,local_year_r2,domain,local_rate_r1,local_rate_r2,local_change_pp,oecd_year_r1,oecd_rate_r1,oecd_se_r1,oecd_year_r2,oecd_rate_r2,oecd_se_r2,oecd_change_pp,oecd_change_se,rate_r1_diff_pp,rate_r2_diff_pp,change_diff_pp,sign_mismatch,magnitude_flag,year_note
USA,United States,United States,2014,2023,literacy,18.07196913587488,26.62820494334494,8.556235807470062,2012/15,17.60557855,0.613887661,2023,27.01789518,1.142608911,9.41231663,2.207331428,0.4663905858748798,-0.38969023665505986,-0.8560808225299379,FALSE,FALSE,local r1 year 2014; OECD r1 year 2012/15
LTU,Lithuania,Lithuania,2012,2023,literacy,15.260178529243134,36.75633413396102,21.496155604717885,2015,15.75665219,0.804398093,2023,37.68454598,1.065289822,21.9278938,3.127993147,-0.49647366075686605,-0.9282118460389839,-0.4317381952821151,FALSE,FALSE,local r1 year 2012; OECD r1 year 2015
SVK,Slovakia,Slovak Republic,2012,2023,literacy,11.348289181148937,22.705872761292703,11.357583580143768,2012,11.65839629,0.573964249,2023,23.37236772,1.142908452,11.71397143,2.758327964,-0.31010710885106363,-0.6664949587072968,-0.3563878498562332,FALSE,FALSE,
GBR,United Kingdom,England (UK),2012,2023,literacy,16.169386686778054,17.18982674394114,1.0204400571630856,2012,16.59617467,0.777527105,2023,17.26910106,0.803237779,0.672926395,2.017956552,-0.42678798322194567,-0.0792743160588607,0.34751366216308566,FALSE,FALSE,
KOR,Korea,Korea,2012,2023,literacy,12.502913298474896,29.69098239084314,17.188069092368245,2012,12.89900776,0.527318472,2023,30.39546375,0.83367554,17.49645599,2.479745873,-0.3960944615251041,-0.7044813591568619,-0.3083868976317561,FALSE,FALSE,
POL,Poland,Poland*,2012,2023,literacy,18.25496460648195,38.731748303983146,20.4767836975012,2012,18.76871112,0.620675283,2023,39.48599787,1.144027935,20.71728676,2.833252719,-0.5137465135180506,-0.7542495660168527,-0.24050306249879938,FALSE,FALSE,
ITA,Italy,Italy,2012,2023,literacy,27.09930625888522,34.02382061305564,6.9245143541704195,2012,27.8643313,1.100593467,2023,34.58003311,1.332838886,6.715701808,2.889505401,-0.7650250411147788,-0.5562124969443616,0.2088125461704191,FALSE,FALSE,
DEU,Germany,Germany,2012,2023,literacy,17.222905610215328,20.03101740049382,2.808111790278492,2012,17.78139036,0.787846776,2023,20.40458468,0.69905001,2.623194324,1.999468306,-0.5584847497846717,-0.3735672795061795,0.18491746627849182,FALSE,FALSE,
NZL,New Zealand,New Zealand,2014,2023,literacy,11.72674482747108,24.998146335702682,13.2714015082316,2015,12.06525004,0.558775468,2023,25.49777053,1.247890504,13.43252049,2.262712895,-0.3385052125289203,-0.4996241942973185,-0.1611189817684,FALSE,FALSE,local r1 year 2014; OECD r1 year 2015
DNK,Denmark,Denmark,2012,2023,literacy,15.350027074404673,13.205508477433032,-2.1445185969716425,2012,15.76085,0.562634536,2023,13.49437022,0.628108888,-2.266479774,1.694126993,-0.4108229255953262,-0.2888617425669686,0.12196117702835751,FALSE,FALSE,
BEL,Belgium,Flemish Region (Belgium),2012,2023,literacy,14.361692329856723,15.920229454564597,1.5585371247078732,2012,14.78988567,0.579858493,2023,16.25302698,0.684240139,1.46314131,1.751639723,-0.42819334014327737,-0.33279752543540475,0.09539581470787328,FALSE,FALSE,
HUN,Hungary,Hungary,2014,2023,literacy,18.15419982824525,31.305211700327845,13.151011872082591,2017,18.64465707,0.687733655,2023,31.88208889,1.070773247,13.23743182,2.605659127,-0.4904572417547506,-0.5768771896721532,-0.08641994791740792,FALSE,FALSE,local r1 year 2014; OECD r1 year 2017
CZE,Czechia,Czechia,2012,2023,literacy,11.448617274255383,20.97084887675389,9.522231602498504,2012,11.87104147,0.781828691,2023,21.46925599,0.769375552,9.598214523,2.224248515,-0.4224241957446164,-0.49840711324610965,-0.07598292050149524,FALSE,FALSE,
FIN,Finland,Finland,2012,2023,literacy,10.347200259528403,8.865454287157679,-1.4817459723707251,2012,10.6103455,0.492195373,2023,9.060824199,0.589625393,-1.549521303,1.187067249,-0.26314524047159615,-0.195369911842322,0.06777533062927477,FALSE,FALSE,
FRA,France,France,2012,2023,literacy,21.187984800968394,27.034849596034338,5.846864795065942,2012,21.74000854,0.517118927,2023,27.53016662,0.571145558,5.790158078,2.125377414,-0.5520237390316076,-0.49531702396566146,0.05670671706594188,FALSE,FALSE,
ISR,Israel,Israel,2014,2023,literacy,27.213471431122233,35.076844662659006,7.863373231536775,2015,27.7631598,0.636156468,2023,35.67953522,0.837104023,7.916375415,2.351625392,-0.5496883688777672,-0.602690557340992,-0.05300218346322527,FALSE,FALSE,local r1 year 2014; OECD r1 year 2015
ESP,Spain,Spain,2012,2023,literacy,27.03124628740261,29.14713469186241,2.115888404459798,2012,27.70243593,0.769368616,2023,29.76712233,0.871399337,2.064686401,2.708446116,-0.6711896425973904,-0.6199876381375908,0.051202003459798195,FALSE,FALSE,
CHL,Chile,Chile,2014,2023,literacy,52.81666023377755,52.73371352942755,-0.0829467043499954,2015,53.50870043,1.941332206,2023,53.38106467,1.775350267,-0.127635766,3.480822477,-0.6920401962224503,-0.6473511405724537,0.04468906165000461,FALSE,FALSE,local r1 year 2014; OECD r1 year 2015
IRL,Ireland,Ireland,2012,2023,literacy,17.00150394971118,20.181650926744123,3.180146977032941,2012,17.52379163,0.859822515,2023,20.66497842,1.089062652,3.141186786,2.423672021,-0.522287680288823,-0.483327493255878,0.038960191032940905,FALSE,FALSE,
EST,Estonia,Estonia,2012,2023,literacy,12.637935979243045,18.776452656586446,6.1385166773433975,2012,13.0661408,0.560273139,2023,19.17123369,0.519573637,6.105092891,1.722067177,-0.4282048207569549,-0.39478103341355464,0.03342378634339749,FALSE,FALSE,
AUT,Austria,Austria,2012,2023,literacy,15.073605092244929,26.42628115593158,11.352676063686651,2012,15.57414929,0.658004858,2023,26.95478828,0.823558934,11.380639,2.237046136,-0.5005441977550706,-0.5285071240684189,-0.027962936313349118,FALSE,FALSE,
JPN,Japan,Japan,2012,2023,literacy,4.7032002744930095,9.25237746124102,4.54917718674801,2012,4.929250506,0.397622562,2023,9.494785576000002,0.505025514,4.56553507,1.301589093,-0.22605023150699033,-0.24240811475898205,-0.016357883251989946,FALSE,FALSE,
CAN,Canada,Canada,2012,2023,literacy,16.12363393711623,17.41261945456174,1.2889855174455067,2012,16.52713321,0.466126187,2023,17.82812245,0.687854285,1.300989241,1.860980314,-0.4034992728837672,-0.41550299543825986,-0.012003723554493195,FALSE,FALSE,
SGP,Singapore,Singapore,2014,2023,literacy,25.917143300186325,29.22513716294698,3.3079938627606555,2015,26.36899712,0.635277403,2023,29.68791872,0.684923966,3.318921599,2.120137749,-0.45185381981367456,-0.46278155705302026,-0.010927736239344288,FALSE,FALSE,local r1 year 2014; OECD r1 year 2015
USA,United States,United States,2014,2023,numeracy,28.374924300238398,33.10884499258819,4.733920692349791,2012/15,27.55998278,0.783464754,2023,33.61065838,1.242001659,6.050675595,2.179529459,0.8149415202383992,-0.5018133874118078,-1.3167549026502092,FALSE,TRUE,local r1 year 2014; OECD r1 year 2012/15
GBR,United Kingdom,England (UK),2012,2023,numeracy,23.929581474595622,20.465541064710525,-3.4640404098850968,2012,24.45673867,0.944769448,2023,20.63655933,0.835818511,-3.820179331,1.987274278,-0.5271571954043779,-0.17101826528947583,0.3561389211149031,FALSE,FALSE,
LTU,Lithuania,Lithuania,2012,2023,numeracy,17.719748700384446,31.37540831719607,13.655659616811622,2015,18.22291268,0.801002031,2023,32.13275443,1.145748651,13.90984176,2.691667787,-0.5031639796155538,-0.7573461128039298,-0.2541821431883786,FALSE,FALSE,local r1 year 2012; OECD r1 year 2015
SVK,Slovakia,Slovak Republic,2012,2023,numeracy,13.413422355444801,20.84951441455228,7.43609205910748,2012,13.8073957,0.605691297,2023,21.46057251,0.985633729,7.653176813,2.213911371,-0.3939733445551994,-0.6110580954477172,-0.2170847538925198,FALSE,FALSE,
POL,Poland,Poland*,2012,2023,numeracy,22.87269808275945,37.241994818021134,14.369296735261686,2012,23.47733742,0.728956017,2023,38.01330061,1.00826503,14.53596319,2.417296448,-0.6046393372405525,-0.7713057919788682,-0.16666645473831387,FALSE,FALSE,
CZE,Czechia,Czechia,2012,2023,numeracy,12.555835744739635,17.237243591429944,4.681407846690311,2012,12.93426182,0.792595782,2023,17.75559621,0.823341076,4.821334384,1.892817938,-0.3784260752603643,-0.5183526185700558,-0.13992653730968918,FALSE,FALSE,
DNK,Denmark,Denmark,2012,2023,numeracy,13.920568783538087,12.028762437333349,-1.89180634620474,2012,14.29052019,0.579947382,2023,12.26175152,0.585197871,-2.028768668,1.429730008,-0.3699514064619134,-0.23298908266665208,0.13696232179526002,FALSE,FALSE,
HUN,Hungary,Hungary,2014,2023,numeracy,17.362614563420472,27.668821294217473,10.306206730797,2017,17.79852296,0.670868549,2023,28.22376914,0.987214072,10.42524617,2.187686206,-0.43590839657952785,-0.5549478457825288,-0.11903943920300009,FALSE,FALSE,local r1 year 2014; OECD r1 year 2017
FIN,Finland,Finland,2012,2023,numeracy,12.473503398761144,8.807380513150145,-3.6661228856109993,2012,12.83237367,0.518939591,2023,9.050418112,0.574567984,-3.781955562,1.167446324,-0.35887027123885673,-0.24303759884985432,0.11583267638900052,FALSE,FALSE,
JPN,Japan,Japan,2012,2023,numeracy,7.899252006720488,8.725592732440768,0.8263407257202802,2012,8.251901332,0.57177957,2023,8.96617588,0.531976823,0.714274548,1.261864607,-0.3526493252795113,-0.2405831475592315,0.11206617772028016,FALSE,FALSE,
DEU,Germany,Germany,2012,2023,numeracy,18.247529759958574,17.891944390996766,-0.35558536896181103,2012,18.66962996,0.742356526,2023,18.20787235,0.653809357,-0.461757604,1.702079112,-0.42210020004142734,-0.3159279590032327,0.10617223503818896,FALSE,FALSE,
ISR,Israel,Israel,2014,2023,numeracy,31.161680893127535,32.91074569276161,1.7490647996340702,2015,31.66997396,0.821045153,2023,33.52445099,0.825452517,1.854477031,2.176711117,-0.508293066872465,-0.6137052972383898,-0.10541223136592981,FALSE,FALSE,local r1 year 2014; OECD r1 year 2015
BEL,Belgium,Flemish Region (Belgium),2012,2023,numeracy,13.718504574665385,14.98255585334023,1.2640512786748437,2012,14.08127488,0.600826706,2023,15.24428628,0.715270754,1.1630114,1.561892267,-0.36277030533461563,-0.26173042665977064,0.10103987867484365,FALSE,FALSE,
FRA,France,France,2012,2023,numeracy,27.69201125485804,26.869647731975643,-0.8223635228823967,2012,28.26624871,0.626524835,2023,27.34754216,0.537297923,-0.918706553,1.853242156,-0.574237455141958,-0.47789442802435644,0.09634303011760337,FALSE,FALSE,
CAN,Canada,Canada,2012,2023,numeracy,22.16536740861026,18.5336051978748,-3.631762210735462,2012,22.54949274,0.520916311,2023,19.00655529,0.689923493,-3.542937449,1.737119629,-0.38412533138974325,-0.47295009212520256,-0.08882476173546205,FALSE,FALSE,
KOR,Korea,Korea,2012,2023,numeracy,18.395705787191524,26.531109126396828,8.135403339205304,2012,18.95978346,0.563934989,2023,27.17807054,0.80748062,8.218287076,2.193686521,-0.5640776728084766,-0.6469614136031723,-0.0828837367946953,FALSE,FALSE,
AUT,Austria,Austria,2012,2023,numeracy,14.150190186423442,20.0739125730648,5.923722386641359,2012,14.53048725,0.689863971,2023,20.5180761,0.70594119,5.987588849,1.827609381,-0.3802970635765579,-0.4441635269351991,-0.06386646235864113,FALSE,FALSE,
IRL,Ireland,Ireland,2012,2023,numeracy,24.710470102546083,23.737146829898453,-0.9733232726476304,2012,25.29624206,0.91268746,2023,24.27510352,1.035320039,-1.021138538,2.260651541,-0.5857719574539182,-0.5379566901015451,0.047815265352369574,FALSE,FALSE,
EST,Estonia,Estonia,2012,2023,numeracy,13.918750387394734,14.572882636697937,0.654132249303202,2012,14.34942352,0.493754734,2023,14.95832083,0.416395885,0.608897315,1.419278369,-0.43067313260526596,-0.38543819330206297,0.045234934303202023,FALSE,FALSE,
ITA,Italy,Italy,2012,2023,numeracy,31.225364847823585,34.48518074473893,3.2598158969153523,2012,31.88873611,1.038724485,2023,35.10553779,1.472432829,3.216801674,2.702864083,-0.6633712621764154,-0.6203570452610663,0.043014222915352285,FALSE,FALSE,
SGP,Singapore,Singapore,2014,2023,numeracy,27.670629157159638,21.452200545090815,-6.218428612068822,2015,28.08570954,0.564778669,2023,21.82509599,0.660467835,-6.260613554,1.622761969,-0.41508038284036175,-0.3728954449091866,0.042184941931178166,FALSE,FALSE,local r1 year 2014; OECD r1 year 2015
NZL,New Zealand,New Zealand,2014,2023,numeracy,18.845261662710428,27.55252923453641,8.707267571825984,2015,19.31182428,0.700199486,2023,27.99312973,1.347557882,8.681305458,2.237502484,-0.46656261728957205,-0.44060049546358826,0.025962113825983124,FALSE,FALSE,local r1 year 2014; OECD r1 year 2015
CHL,Chile,Chile,2014,2023,numeracy,61.5379501176303,54.99958528373604,-6.538364833894262,2015,62.1030067,2.605086715,2023,55.58673521,1.79197818,-6.516271481,3.695141573,-0.5650565823696994,-0.5871499262639617,-0.022093352894261287,FALSE,FALSE,local r1 year 2014; OECD r1 year 2015
ESP,Spain,Spain,2012,2023,numeracy,30.213208342036367,28.21519666661803,-1.9980116754183377,2012,30.87931385,0.652675877,2023,28.89335971,0.920884714,-1.985954139,2.333661721,-0.666105507963632,-0.6781630433819679,-0.012057536418337733,FALSE,FALSE,
